,City,Max Temp,Lon,Lat,cloudiness,Wind Speed ,Humidity,Country,Date
0,rio grande,3.33,-52.1,-32.03,20,2.5,93,BR,1567657115
1,nelson,17.78,-117.29,49.49,26,0.79,62,CA,1567657568
2,jalingo,23.46,10.93,10.3,99,2.23,90,NG,1567657568
3,arona,20.56,8.56,45.76,40,2.6,100,IT,1567657568
4,punta arenas,2.0,-70.91,-53.16,75,3.1,84,CL,1567657569
5,yellowknife,11.0,-114.38,62.45,75,2.1,71,CA,1567657569
6,evensk,11.53,159.24,61.92,88,6.07,59,RU,1567657569
7,avarua,24.0,-159.78,-21.21,98,7.2,60,CK,1567657404
8,tecoanapa,28.0,-99.26,16.99,40,1.5,78,MX,1567657570
9,kodiak,20.0,-94.76,39.95,1,1.5,88,US,1567657570
10,necochea,5.56,-58.74,-38.55,6,0.89,64,AR,1567657570
11,mali,18.15,102.2,27.53,79,1.66,90,CN,1567657570
12,rikitea,22.36,-134.97,-23.12,73,3.67,73,PF,1567657571
13,albany,17.78,-73.75,42.65,20,2.6,72,US,1567657274
14,college,15.0,-147.8,64.86,75,2.6,62,US,1567657571
15,hobart,13.89,147.33,-42.88,40,3.6,50,AU,1567656975
16,mataura,11.67,168.86,-46.19,49,3.13,71,NZ,1567657090
17,humaita,13.0,-65.37,-24.93,90,1.5,71,AR,1567657571
18,christchurch,11.11,172.64,-43.53,100,6.7,87,NZ,1567657367
19,khatanga,5.52,102.47,71.98,100,5.67,46,RU,1567657106
20,fortuna,16.67,-124.16,40.6,90,2.6,93,US,1567657124
21,moberly,20.0,-92.44,39.42,1,2.6,82,US,1567657297
22,gamba,7.55,88.52,28.28,37,1.92,67,CN,1567657572
23,ariquemes,27.16,-63.03,-9.91,39,0.79,54,BR,1567657572
24,calama,8.89,-68.93,-22.46,0,7.7,10,CL,1567657573
25,cabo san lucas,29.0,-109.91,22.89,5,5.1,54,MX,1567657198
26,georgetown,24.0,-58.16,6.8,20,2.1,94,GY,1567657060
27,nikolskoye,12.22,30.79,59.7,40,2.0,87,RU,1567657103
28,cuenca,13.0,-79.0,-2.9,11,3.6,76,EC,1567657573
29,mar del plata,0.21,-67.52,-46.43,0,3.51,57,AR,1567657096
30,peace river,12.0,-117.29,56.23,40,3.1,87,CA,1567657574
31,sabha,24.28,14.43,27.03,0,4.56,40,LY,1567657574
32,srivardhan,26.47,73.02,18.03,100,7.53,88,IN,1567657574
33,luderitz,12.0,15.16,-26.65,0,5.1,93,NA,1567657150
34,los algarrobos,32.0,-79.94,-3.25,90,1.5,33,EC,1567657575
35,bathsheba,27.0,-59.52,13.22,20,4.6,88,BB,1567656922
36,banepa,23.0,85.52,27.63,75,1.0,94,NP,1567657575
37,ushuaia,5.0,-68.31,-54.81,0,3.1,56,AR,1567657090
38,kuala terengganu,31.0,103.14,5.33,75,2.6,70,MY,1567657575
39,puerto ayora,20.0,-90.35,-0.74,67,0.45,95,EC,1567657080
40,torbay,18.33,-52.73,47.66,90,4.6,93,CA,1567657138
41,eureka,16.67,-124.16,40.8,90,5.33,87,US,1567657576
42,khandbari,15.15,87.21,27.38,100,0.36,91,NP,1567657576
43,awjilah,22.09,21.3,29.14,0,3.84,92,LY,1567657576
44,vaini,25.0,74.49,15.34,75,5.1,94,IN,1567657087
45,dawei,26.34,98.19,14.07,100,8.38,86,MM,1567657577
46,cholet,12.22,-0.88,47.06,0,3.1,93,FR,1567657577
47,cockburn town,28.81,-71.14,21.46,18,8.17,82,TC,1567657577
48,dikson,6.28,80.55,73.51,100,8.88,99,RU,1567657119
49,tasiilaq,8.0,-37.64,65.61,100,6.7,49,GL,1567657110
50,novoorsk,9.0,58.98,51.38,75,3.0,93,RU,1567657578
51,tuktoyaktuk,10.0,-133.03,69.44,75,5.7,81,CA,1567657107
52,hilo,28.0,-155.08,19.71,75,2.1,69,US,1567657578
53,lexington,22.22,-84.5,38.05,1,2.6,60,US,1567657564
54,real,31.67,121.6,14.67,40,8.2,70,PH,1567657578
55,tiksi,8.84,128.87,71.64,4,5.66,76,RU,1567657169
56,cape town,13.89,18.42,-33.93,0,12.9,71,ZA,1567657097
57,chokurdakh,10.15,147.9,70.62,79,4.41,45,RU,1567657122
58,bluff,30.38,149.07,-23.58,0,1.89,11,AU,1567657091
59,bukachacha,22.43,116.91,52.99,0,0.67,42,RU,1567657579
60,saint-augustin,16.11,-73.98,45.63,75,1.5,82,CA,1567657098
61,lorengau,27.3,147.27,-2.02,100,4.62,84,PG,1567657579
62,sorland,7.0,12.69,67.67,40,1.5,93,NO,1567657113
63,provideniya,12.0,-173.23,64.42,75,5.0,76,RU,1567657580
64,port elizabeth,25.56,-74.98,39.31,75,2.6,88,US,1567657656
65,vadso,9.0,29.75,70.07,0,3.1,81,NO,1567657657
66,gat,26.0,-16.54,14.69,20,1.5,94,SN,1567657658
67,kortkeros,9.0,51.56,61.81,0,2.0,93,RU,1567657659
68,cidreira,8.43,-50.22,-30.17,0,2.76,72,BR,1567657119
69,codrington,31.0,153.24,-28.95,0,2.6,16,AU,1567657147
70,ukiah,26.0,-123.21,39.15,1,0.39,31,US,1567657660
